entry_key,title,authors,year,venue,doi,url,citation_locations,claim_supported,notes
shapley1953value,"A Value for n-Person Games","Shapley, Lloyd S.",1953,"Contributions to the Theory of Games, Vol. II (Princeton University Press)",,"https://press.princeton.edu/books/paperback/9780691079356","Sec 2.3 body (line 83); References #33","YES","No DOI exists (pre-digital book chapter). BIB: entry type @article is incorrect for a book chapter — should be @incollection with editor=Kuhn & Tucker and publisher=Princeton University Press. Title/authors/year correct. Pages 307-317 verified correct."
lundberg2017unified,"A Unified Approach to Interpreting Model Predictions","Lundberg, Scott M. and Lee, Su-In",2017,"Advances in Neural Information Processing Systems (NeurIPS), Vol. 30",10.48550/arXiv.1705.07874,"https://arxiv.org/abs/1705.07874","Sec 2.3 body (line 83); References #2","YES","Claim: unified gradient-based/attention-based/LIME-based explanations as Shapley approximations — accurate. BIB: missing doi/url field; proceedings volume 30 is correct; publisher Curran Associates correct."
lundberg2020trees,"From local explanations to global understanding with explainable AI for trees","Lundberg, Scott M. et al.",2020,"Nature Machine Intelligence",10.1038/s42256-019-0138-9,"https://doi.org/10.1038/s42256-019-0138-9","Sec 2.3 body (line 83); Sec 3.2 (line 120); Sec 6.2 (line 558); References #3","YES","Claim: exact Shapley values computed in polynomial time via TreeExplainer — accurate. DOI already present in bib (10.1038/s42256-019-0138-9). Volume 2(1) pages 56-67 verified correct."
sundararajan2020many,"The Many Shapley Values for Model Explanation","Sundararajan, Mukund and Najmi, Amir",2020,"Proceedings of the 37th ICML (PMLR vol. 119)",10.48550/arXiv.1911.11718,"https://arxiv.org/abs/1911.11718","Sec 2.3 body (line 83); References #15","YES","Claim: different baseline/marginalization choices produce different Shapley values — accurate. BIB: pages 9269-9278 verified correct; volume 119 correct. Missing doi/url."
aas2021explaining,"Explaining individual predictions when features are dependent: More accurate approximations to Shapley values","Aas, Kjersti and Jullum, Martin and Loland, Anders",2021,"Artificial Intelligence",10.1016/j.artint.2021.103502,"https://doi.org/10.1016/j.artint.2021.103502","Sec 2.3 body (line 83); References #34","YES","Claim: more accurate approximations to conditional Shapley values when features are dependent — accurate. DOI already in bib (10.1016/j.artint.2021.103502). Volume 298 page 103502 correct."
frye2020asymmetric,"Asymmetric Shapley Values: Incorporating Causal Knowledge into Model-Agnostic Explainability","Frye, Christopher and Rowat, Colin and Feige, Ilya",2020,"Advances in Neural Information Processing Systems (NeurIPS), Vol. 33",10.48550/arXiv.1912.12837,"https://arxiv.org/abs/1912.12837","Sec 2.3 body (line 83); References #35","YES","Claim: introduce asymmetric Shapley values incorporating a causal partial ordering — accurate. BIB: volume 33 correct; missing doi/url."
janzing2020feature,"Feature relevance quantification in explainable AI: A causal problem","Janzing, Dominik and Minorics, Lenon and Blobaum, Patrick",2020,"Proceedings of AISTATS 2020 (PMLR vol. 108)",10.48550/arXiv.1910.13413,"https://arxiv.org/abs/1910.13413","Sec 2.3 body (line 83); References #8","YES","Claim: reformulate SHAP attribution as causal inference problem using do-calculus interventions — accurate. BIB: pages 2907-2916 and volume 108 verified correct; missing doi/url. Note: author 'Blobaum' spelled without umlaut in paper text (Bl{\"o}baum in bib) — minor inconsistency, bib correct."
heskes2020causal,"Causal Shapley Values: Exploiting Causal Knowledge to Explain Individual Predictions of Complex Models","Heskes, Tom and Sijben, Evi and Bucur, Ioan Gabriel and Claassen, Tom",2020,"Advances in Neural Information Processing Systems (NeurIPS), Vol. 33",10.48550/arXiv.2011.01625,"https://arxiv.org/abs/2011.01625","Sec 2.3 body (line 83); References #7","YES","Claim: define causal Shapley values replacing conditional expectations with interventional distributions — accurate. BIB: volume 33 correct; missing doi/url."
amoukou2022accurate,"Accurate Shapley Values for explaining tree-based models","Amoukou, Salim I. and Brunel, Nicolas J. B.",2022,"Proceedings of AISTATS 2022 (PMLR vol. 151)",10.48550/arXiv.2202.01483,"https://arxiv.org/abs/2202.01483","Sec 2.3 body (line 83); References #14","PARTIAL","BIB: volume 151 correct; missing doi/url. CLAIM ISSUE: Paper states Amoukou et al. 'provide tighter bounds on the approximation error of tree SHAP values when the independence assumption fails.' The actual paper focuses on computing *exact* (not bounded) Shapley values for tree models more accurately using conditional expectations — it is not primarily about bounding approximation error. The claim conflates accuracy-of-computation with bounding-of-error. Overstated but directionally related."
rozenfeld2024causal,"Causal Analysis of Shapley Values: Conditional vs. Marginal","Rozenfeld, Ilya",2024,"arXiv preprint",10.48550/arXiv.2409.06157,"https://arxiv.org/abs/2409.06157","Sec 2.3 body (line 83); Sec 6.2 (line 558); References #13","YES","Claim: argues conditional SHAP is fundamentally unsound from a causal perspective because it distributes credit along confounded paths — accurate characterization of the paper's argument. BIB: arXiv ID 2409.06157 verified correct; missing doi/url."
athey2017state,"The State of Applied Econometrics: Causality and Policy Evaluation","Athey, Susan and Imbens, Guido W.",2017,"Journal of Economic Perspectives",10.1257/jep.31.2.3,"https://doi.org/10.1257/jep.31.2.3","Sec 2.5 body (line 91); References #36","YES","Claim: ML methods can extend econometric identification strategies — accurate. DOI already in bib (10.1257/jep.31.2.3). Volume 31(2) pages 3-32 verified correct."
chernozhukov2018double,"Double/debiased machine learning for treatment and structural parameters","Chernozhukov, Victor et al.",2018,"Econometrics Journal",10.1111/ectj.12097,"https://doi.org/10.1111/ectj.12097","Sec 2.5 body (line 91); References #38","YES","Claim: uses flexible ML for nuisance parameters maintaining valid inference via Neyman orthogonality — accurate. DOI already in bib (10.1111/ectj.12097). Volume 21(1) pages C1-C68 verified correct."
wager2018estimation,"Estimation and Inference of Heterogeneous Treatment Effects using Random Forests","Wager, Stefan and Athey, Susan",2018,"Journal of the American Statistical Association",10.1080/01621459.2017.1319839,"https://doi.org/10.1080/01621459.2017.1319839","Sec 2.5 body (line 91); References #10","YES","Claim: develop causal forests for conditional average treatment effects — accurate. DOI already in bib (10.1080/01621459.2017.1319839). Volume 113(523) pages 1228-1242 verified correct."
kunzel2019metalearners,"Metalearners for Estimating Heterogeneous Treatment Effects Using Machine Learning","Kunzel, Soren R. et al.",2019,"Proceedings of the National Academy of Sciences",10.1073/pnas.1804597116,"https://doi.org/10.1073/pnas.1804597116","Sec 2.5 body (line 91); References #39","YES","Claim: introduce metalearners using arbitrary ML base learners inside CATE estimators — accurate. DOI already in bib (10.1073/pnas.1804597116). Volume 116(10) pages 4156-4165 verified correct."
athey2019generalized,"Generalized Random Forests","Athey, Susan and Tibshirani, Julie and Wager, Stefan",2019,"Annals of Statistics",10.1214/18-AOS1709,"https://doi.org/10.1214/18-AOS1709","Sec 2.5 body (line 91); References #9","YES","Claim: develop causal forests and generalized random forests estimating CATEs — accurate. DOI already in bib (10.1214/18-AOS1709). Volume 47(2) pages 1148-1178 verified correct."
