entry_key,title,authors,year,venue,doi,url,citation_locations,claim_supported,notes
bergmeir2012cv,On the Use of Cross-Validation for Time Series Predictor Evaluation,"Bergmeir, Christoph; Benitez, Jose M.",2012,Information Sciences 191:192-213,10.1016/j.ins.2011.12.028,,Section 2.2 (rolling-origin rationale for tree forecasting); Section 3.3 (temporal CV design),YES,"DOI confirmed live (302->200). Title matches CrossRef exactly. Claim: standard k-fold CV inflates performance on autocorrelated series — directly supported by the paper's central finding. Bib title capitalisation differs slightly from CrossRef ('cross-validation' vs 'Cross-Validation') but is acceptable. Authors listed as 'Bergmeir and Benitez' in bib; CrossRef confirms spelling (Benitez accent dropped — minor). DOI already present in bib."
hyndman2021fpp,Forecasting: Principles and Practice,"Hyndman, Rob J.; Athanasopoulos, George",2021,OTexts (3rd edition),,"https://otexts.com/fpp3/","Section 2.2 (canonical rolling-origin protocol); Section 3.3 (temporal CV design)",YES,"No DOI exists for this open online textbook; URL https://otexts.com/fpp3/ confirmed live. Claim: canonical rolling-origin evaluation methodology — directly described in Ch. 5 of FPP3. Bib note field contains 'OTexts.com/fpp3' but no url= field — URL field needs adding. Bib year 2021 matches 3rd ed."
hyndman2006another,Another Look at Measures of Forecast Accuracy,"Hyndman, Rob J.; Koehler, Anne B.",2006,International Journal of Forecasting 22(4):679-688,10.1016/j.ijforecast.2006.03.001,,Section 2.2 (MAPE and WMAPE properties cited as measurement foundation),PARTIAL,"DOI confirmed live. Title/authors/venue/year/pages all match CrossRef exactly. Claim: establishes theoretical properties of MAPE and WMAPE. Partially supported: the paper discusses MAPE's well-known deficiencies (undefined for zero actuals, asymmetric penalties) and recommends alternatives (MASE). The paper does discuss WMAPE but does not 'establish' it as a primary metric — it is mentioned briefly. The prose claim overstates the paper's endorsement of MAPE/WMAPE as preferred metrics. FLAG: Hyndman & Koehler actually argue *against* MAPE for many use cases; citing them as the foundation for an attribution-MAPE evaluation requires care."
makridakis2020m4,The M4 Competition: 100000 time series and 61 forecasting methods,"Makridakis, Spyros; Spiliotis, Evangelos; Assimakopoulos, Vassilios",2020,International Journal of Forecasting 36(1):54-74,10.1016/j.ijforecast.2019.04.014,,Section 2.2 (tree/RF methods competitive with classical forecasters in M4),PARTIAL,"DOI confirmed live. Title/authors/venue/year/pages match CrossRef exactly. Claim: gradient-boosted and random-forest methods are competitive with classical statistical forecasters across 100k time series. Partially supported: M4 winner was the ES-RNN hybrid (Smyl); the paper's Table 3 shows ML methods were generally outperformed by statistical hybrids, though some tree/ML methods were competitive. The claim is directionally defensible but overstated — M4's headline finding was that pure ML did NOT dominate. The bib entry lists Spiliotis as co-author of M4 paper (correct); there is no separate standalone Spiliotis-only entry in the bib for M5 findings."
makridakis2022m5,The M5 Accuracy Competition: Results Findings and Conclusions,"Makridakis, Spyros; Spiliotis, Evangelos; Assimakopoulos, Vassilios; (and others)",2022,International Journal of Forecasting 38(4):1346-1364,10.1016/j.ijforecast.2021.11.013,,Section 2.2 (M5 tree ensemble dominance; LightGBM/XGBoost winning solutions),YES,"DOI confirmed live. CrossRef title: 'M5 accuracy competition: Results, findings, and conclusions' — bib capitalises 'Accuracy Competition Results Findings and Conclusions' (minor). Authors match. Year 2022 correct. Claim: winning solutions relied heavily on LightGBM/XGBoost — directly supported; M5 top solutions were almost entirely LightGBM-based. Note: the audit spec mentions 'Spiliotis et al. — M5 competition findings' as a separate entry; there is no standalone Spiliotis-only bib entry; M5 findings are covered by this Makridakis et al. entry with Spiliotis as second author."
bandara2020forecasting,Forecasting Across Time Series Databases Using Recurrent Neural Networks on Groups of Similar Series: A Clustering Approach,"Bandara, Kasun; Bergmeir, Christoph; Smyl, Slawek",2020,Expert Systems with Applications 140:112896,10.1016/j.eswa.2019.112896,,Section 2.2 (grouping similar series improves forecasting; panel pooling analogy),PARTIAL,"DOI confirmed live. CrossRef full title includes 'A Clustering Approach' which is MISSING from the bib entry. Bib title: 'Forecasting Across Time Series Databases Using Recurrent Neural Networks on Groups of Similar Series: A Comparative Study' — CrossRef says 'A Clustering Approach' not 'A Comparative Study'. FLAG: Subtitle mismatch in bib ('Comparative Study' vs actual 'Clustering Approach'). Claim: grouping similar time series for collective modeling improves accuracy — supported. Paper analogy to panel pooling is reasonable but indirect (paper uses RNNs/ES methods, not tree ensembles)."
ke2017lightgbm,LightGBM: A Highly Efficient Gradient Boosting Decision Tree,"Ke, Guolin; Meng, Qi; Finley, Thomas; Wang, Taifeng; Chen, Wei; Ma, Weidong; Ye, Qiwei; Liu, Tie-Yan",2017,Advances in Neural Information Processing Systems 30 (NeurIPS 2017),,https://proceedings.neurips.cc/paper/2017/hash/6449f44a102fde848669bdd9eb6b76fa-Abstract.html,"Section 2.2 (M5 winning solutions relied on LightGBM); Abstract (core algorithm); Section 4.3 (benchmark uses LightGBM with 20 Optuna trials)",YES,"No CrossRef DOI found for NeurIPS 2017 proceedings. URL confirmed live. Title/authors/year/venue match bib entry exactly. Claim: LightGBM is a highly efficient GBDT used in M5 and in TreeMMM — directly supported. The bib entry has no url= or doi= field — URL field needs adding."
chen2016xgboost,XGBoost: A Scalable Tree Boosting System,"Chen, Tianqi; Guestrin, Carlos",2016,Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining (pp. 785-794),10.1145/2939672.2939785,,Section 2.2 (M5 winning solutions relied on XGBoost); Abstract (core algorithm alternative),YES,"DOI confirmed live and already in bib. CrossRef title is just 'XGBoost' — bib adds the subtitle 'A Scalable Tree Boosting System' which matches the paper's own title on the proceedings page. Authors/year/pages match exactly. Claim: XGBoost used in M5 winning solutions — directly supported."
mulc2025nnn,NNN: Next-Generation Neural Networks for Marketing Measurement,"Mulc, Thomas; Anderson, Mike; Cubre, Paul; Zhang, Huikun; Liu, Ivy; Kumar, Saket",2025,arXiv preprint,,https://arxiv.org/abs/2504.06212,Section 1.2 (neural MMM alternative using transformers),FLAG_FOR_REVIEW,"ArXiv ID confirmed: 2504.06212 (submitted 2025-04-08). CRITICAL ERRORS in bib entry: (1) bib title 'NNN: Neural Network for MMM with Attention-Based Long-Term Effects' is WRONG — actual title is 'NNN: Next-Generation Neural Networks for Marketing Measurement'; (2) bib note lists 'arXiv:2503.xxxxx' (placeholder) — actual ID is 2504.06212; (3) bib author 'Mulc, David and others' — actual first author is 'Mulc, Thomas'. Paper describes Transformer-based approach to marketing measurement, not specifically 'attention-based long-term effects' framing. Claim in prose (uses transformers) is broadly supported but characterisation needs refinement. Must fix title, arXiv ID, and first-author given name."
gong2024causalmmm,CausalMMM: Learning Causal Structure for Marketing Mix Modeling,"Gong, Chang; Yao, Di; Zhang, Lei; Chen, Sheng; Li, Wenbin; Su, Yueyang; Bi, Jingping",2024,Proceedings of the 17th ACM International Conference on Web Search and Data Mining (WSDM 2024),10.1145/3616855.3635766,,Section 1.2 (applies Granger causality to MMM),PARTIAL,"DOI confirmed: 10.1145/3616855.3635766. TITLE MISMATCH: bib title is 'CausalMMM: Causal Structure Discovery for Marketing Mix Modeling'; CrossRef/ACM DL title is 'CausalMMM: Learning Causal Structure for Marketing Mix Modeling'. Subtitle differs ('Causal Structure Discovery' vs 'Learning Causal Structure'). Authors in bib list 'Gong, Ruocheng and others' — actual first author is 'Chang Gong' not 'Ruocheng Gong'. FLAG: bib has wrong first-author given name ('Ruocheng' vs 'Chang'). Claim: applies Granger causality — the actual paper uses DAG structure learning (not specifically Granger causality); the Granger causality description in the prose is an oversimplification. Venue year/proceedings correct."
tirumala2025deepcausalmmm,DeepCausalMMM: A Deep Learning Framework for Marketing Mix Modeling with Causal Structure Learning,"Tirumala, Aditya Puttaparthi",2025,Journal of Open Source Software (published 2026-04-25); also arXiv:2510.13087,10.21105/joss.09914,,Section 1.2 (combines GRUs with learned DAG structure); Appendix A (exploratory comparison),YES,"JOSS DOI confirmed: 10.21105/joss.09914. Also available as arXiv:2510.13087. YEAR DISCREPANCY: bib lists year=2025; CrossRef shows JOSS published 2026-04-25. The arXiv preprint was 2025; the JOSS publication is 2026. Bib should reflect JOSS publication year 2026 if citing the journal version, or keep 2025 for arXiv. Note also: bib author lists 'Tirumala, Kalyan' but actual author is 'Tirumala, Aditya Puttaparthi'. FLAG: wrong author given name ('Kalyan' vs 'Aditya Puttaparthi'). Full bib title ('DeepCausalMMM: Deep Causal Marketing Mix Modeling') also differs from actual ('DeepCausalMMM: A Deep Learning Framework for Marketing Mix Modeling with Causal Structure Learning'). Claims about GRU/DAG/Hill saturation/time-varying coefficients all supported."
romano2019conformalized,Conformalized Quantile Regression,"Romano, Yaniv; Patterson, Evan; Candes, Emmanuel",2019,Advances in Neural Information Processing Systems 32 (NeurIPS 2019),,https://proceedings.neurips.cc/paper/2019/hash/5103c3584b063c431bd1268e9b5e76fb-Abstract.html,Reference list only (entry #6); no in-text citation found in paper body,FLAG_FOR_REVIEW,"NeurIPS 2019 URL confirmed. No CrossRef DOI for NeurIPS 2019 proceedings. Title/authors/year match bib exactly. CRITICAL FLAG: this entry appears ONLY in the reference list (as item 6) and is NEVER cited in the paper body prose. The paper does not discuss conformalized quantile regression, prediction intervals, or uncertainty quantification. This is a ghost citation — an entry with no in-text reference. Should be removed or a citation added where relevant (e.g., Section 6 uncertainty quantification discussion). Bib already lacks url= field."
diebold1995comparing,Comparing Predictive Accuracy,"Diebold, Francis X.; Mariano, Roberto S.",1995,Journal of Business & Economic Statistics 13(3):253-263,10.1080/07350015.1995.10524599,,Reference list only (entry #45); no in-text citation found in paper body,FLAG_FOR_REVIEW,"DOI confirmed resolves (via redirect chain). CrossRef title 'Comparing Predictive Accuracy' matches bib exactly. Authors/year/journal/volume/issue/pages all match. CRITICAL FLAG: this entry appears ONLY in the reference list (as item 45) and is NEVER cited in the paper body prose. The paper does not perform a Diebold-Mariano test of forecast accuracy — it uses SE-based confidence intervals on multi-seed replication instead. This is a ghost citation. Should be removed unless DM tests are added to the evaluation methodology. DOI already present in bib."
