dataset,model,decile,n_obs,predicted_mean,actual_mean,predicted_p50,actual_p50
pharma,TreeMMM,1,2700,80.43718303183184,28.605185185185185,81.79947604011537,19.0
pharma,TreeMMM,2,2700,220.5324132465222,76.82222222222222,221.06131943472104,53.5
pharma,TreeMMM,3,2700,427.83751204422776,172.83703703703705,422.6808880963704,121.0
pharma,TreeMMM,4,2699,775.959539133537,376.5905891070767,769.9228569531192,248.0
pharma,TreeMMM,5,2701,1250.8428203307574,1008.2913735653461,1249.8444443201774,569.0
pharma,TreeMMM,6,2700,1917.6167601407685,2132.65,1901.2769056090233,1433.0
pharma,TreeMMM,7,2700,2780.3591323465407,3876.9377777777777,2781.2909339487423,3558.0
pharma,TreeMMM,8,2699,3652.4364822874204,4785.793256761764,3631.422248473311,4504.0
pharma,TreeMMM,9,2701,4823.779345030629,4958.1132913735655,4806.214193892487,4586.0
pharma,TreeMMM,10,2700,6331.433787531407,4976.335555555555,6232.014329149193,4653.5
pharma,GLMM-Naive,1,2700,2.771273182757797,106.76333333333334,2.7996219766737522,54.0
pharma,GLMM-Naive,2,2700,9.330275546285964,1338.1974074074074,8.897283464911325,612.0
pharma,GLMM-Naive,3,2700,34.753357077874654,3566.1003703703705,31.907804920599187,3444.5
pharma,GLMM-Naive,4,2700,101.32184329579131,1090.207037037037,101.2214715897939,43.0
pharma,GLMM-Naive,5,2700,177.16904682322803,552.8837037037038,175.8069730993792,116.0
pharma,GLMM-Naive,6,2700,280.49536579111873,689.9922222222223,278.6538580195521,313.0
pharma,GLMM-Naive,7,2700,451.42099283889644,1695.5907407407408,444.07772827437327,1032.0
pharma,GLMM-Naive,8,2700,791.0984134753778,3680.0162962962963,774.2527454546378,3418.0
pharma,GLMM-Naive,9,2700,1712.5010308923097,4741.532222222222,1599.6644964133127,4451.5
pharma,GLMM-Naive,10,2700,230798.30643677415,4931.990740740741,6948.065414078133,4607.0
pharma,GLMM-Oracle,1,2700,7.550761099278914,98.69703703703703,7.565744434567204,50.0
pharma,GLMM-Oracle,2,2700,27.722688688134077,645.1148148148148,27.153292926969428,235.0
pharma,GLMM-Oracle,3,2700,63.71511365079191,1405.1662962962962,62.87051697362756,102.0
pharma,GLMM-Oracle,4,2700,117.35892919907708,1439.7248148148149,116.29498074893502,134.5
pharma,GLMM-Oracle,5,2700,200.08120706981893,1376.5340740740742,199.26478654664447,262.0
pharma,GLMM-Oracle,6,2700,339.3920993928583,1558.697037037037,334.2248297326061,633.0
pharma,GLMM-Oracle,7,2700,592.4071621016661,2505.921851851852,582.7978508193385,1759.5
pharma,GLMM-Oracle,8,2700,1121.799387242447,3952.9114814814816,1087.9070203256047,3768.0
pharma,GLMM-Oracle,9,2700,2552.236521524328,4593.6092592592595,2415.848680107433,4297.0
pharma,GLMM-Oracle,10,2700,129114.5876086946,4816.897407407408,7868.230088476543,4541.0
cpg,TreeMMM,1,2700,2.623312662876323,2.6918280502493745,2.7098288669254744,2.634745988186183
cpg,TreeMMM,2,2700,3.483118843216366,3.4964006996621335,3.480952620784705,3.4381816002583103
cpg,TreeMMM,3,2700,4.090733779959714,4.080656572518382,4.090960802035109,4.03667797052955
cpg,TreeMMM,4,2700,4.701785718912641,4.672166574918819,4.694087351433984,4.552096118550459
cpg,TreeMMM,5,2700,5.364758473993031,5.4243840738717255,5.358165245590308,5.262709869090733
