dataset,model,variable,spearman_rho
pharma,TreeMMM (LightGBM),rep_visits,0.054185809697628935
pharma,TreeMMM (LightGBM),dtc_advertising,0.042464246194317795
pharma,TreeMMM (LightGBM),samples,0.14475285805741425
pharma,TreeMMM (LightGBM),peer_programs,-0.0031662452406939156
pharma,TreeMMM (LightGBM),digital_impressions,0.02722463640404313
pharma,TreeMMM (LightGBM),conference,-0.009238356137595126
cpg,TreeMMM (LightGBM),tv_grps,0.21291018087115945
cpg,TreeMMM (LightGBM),digital_spend,-0.03877898430877603
cpg,TreeMMM (LightGBM),trade_promo,0.1961046263411234
cpg,TreeMMM (LightGBM),instore_display,0.4382904318107024
cpg,TreeMMM (LightGBM),social_media,-0.004238561804284644
saas,TreeMMM (LightGBM),sdr_outreach,0.194264327921178
saas,TreeMMM (LightGBM),content_downloads,0.16662251718027965
saas,TreeMMM (LightGBM),paid_search,0.2065833100648122
saas,TreeMMM (LightGBM),event_attendance,0.1102916526990725
saas,TreeMMM (LightGBM),csm_meetings,0.155658213157496
linear,TreeMMM (LightGBM),channel_a,0.0
linear,TreeMMM (LightGBM),channel_b,0.0
linear,TreeMMM (LightGBM),channel_c,0.0
