dataset,threshold_pct,corr_threshold,tp,fp,fn,precision,recall,f1
pharma,2.0,0.05,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
pharma,2.0,0.08,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
pharma,2.0,0.1,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
pharma,2.0,0.15,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
pharma,2.0,0.2,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
pharma,3.0,0.05,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
pharma,3.0,0.08,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
pharma,3.0,0.1,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
pharma,3.0,0.15,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
pharma,3.0,0.2,2,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666
pharma,5.0,0.05,1,0,2,1.0,0.3333333333333333,0.5
pharma,5.0,0.08,1,0,2,1.0,0.3333333333333333,0.5
pharma,5.0,0.1,1,0,2,1.0,0.3333333333333333,0.5
pharma,5.0,0.15,1,0,2,1.0,0.3333333333333333,0.5
pharma,5.0,0.2,1,0,2,1.0,0.3333333333333333,0.5
pharma,7.0,0.05,0,0,3,0.0,0.0,0.0
pharma,7.0,0.08,0,0,3,0.0,0.0,0.0
pharma,7.0,0.1,0,0,3,0.0,0.0,0.0
pharma,7.0,0.15,0,0,3,0.0,0.0,0.0
pharma,7.0,0.2,0,0,3,0.0,0.0,0.0
pharma,10.0,0.05,0,0,3,0.0,0.0,0.0
pharma,10.0,0.08,0,0,3,0.0,0.0,0.0
pharma,10.0,0.1,0,0,3,0.0,0.0,0.0
pharma,10.0,0.15,0,0,3,0.0,0.0,0.0
pharma,10.0,0.2,0,0,3,0.0,0.0,0.0
cpg,2.0,0.05,1,5,0,0.16666666666666666,1.0,0.2857142857142857
cpg,2.0,0.08,1,5,0,0.16666666666666666,1.0,0.2857142857142857
cpg,2.0,0.1,1,5,0,0.16666666666666666,1.0,0.2857142857142857
cpg,2.0,0.15,1,5,0,0.16666666666666666,1.0,0.2857142857142857
cpg,2.0,0.2,1,4,0,0.2,1.0,0.33333333333333337
cpg,3.0,0.05,1,2,0,0.3333333333333333,1.0,0.5
cpg,3.0,0.08,1,2,0,0.3333333333333333,1.0,0.5
cpg,3.0,0.1,1,2,0,0.3333333333333333,1.0,0.5
cpg,3.0,0.15,1,2,0,0.3333333333333333,1.0,0.5
cpg,3.0,0.2,1,2,0,0.3333333333333333,1.0,0.5
cpg,5.0,0.05,1,0,0,1.0,1.0,1.0
cpg,5.0,0.08,1,0,0,1.0,1.0,1.0
cpg,5.0,0.1,1,0,0,1.0,1.0,1.0
cpg,5.0,0.15,1,0,0,1.0,1.0,1.0
