dataset,model,variable,pearson_r,curve_rmse,model_mroi,true_mroi
pharma_brand,TreeMMM,rep_visits,0.97877908720595,236.40122611582507,0.00805725174824847,0.007895230669927089
pharma_brand,TreeMMM,dtc_advertising,0.9962816933731282,40.50187786072276,0.0028695362151986213,0.0029867842391566664
pharma_brand,TreeMMM,samples,0.9900832122871328,106.8629885116039,0.005526944732414081,0.005532407555082497
pharma_brand,TreeMMM,peer_programs,0.8821100115101959,106.07419149790545,0.003132105564055159,0.0025370851547961456
pharma_brand,TreeMMM,digital_impressions,0.9689105850129169,26.282115777226117,0.00026341752284045295,0.00039620179156520406
pharma_brand,TreeMMM,conference,0.0,22.957969346621447,0.0,0.0004085555884897006
pharma_brand,GLMM-Naive,rep_visits,0.9853601753025004,1946.8705712908074,0.00034998904846752653,0.007895230669927089
pharma_brand,GLMM-Naive,dtc_advertising,0.984070310593265,1166.292209922416,0.002370506714805252,0.0029867842391566664
pharma_brand,GLMM-Naive,samples,0.9881745058329789,1183.4482640273507,0.0040361234104618095,0.005532407555082497
pharma_brand,GLMM-Naive,peer_programs,0.9645814681768973,1287.917459395811,0.0035281578114305344,0.0025370851547961456
pharma_brand,GLMM-Naive,digital_impressions,0.9929858194382088,930.9599579689302,0.0005771019421962214,0.00039620179156520406
pharma_brand,GLMM-Naive,conference,-0.9895616111324834,853.9395770207026,-0.00013017083866307687,0.0004085555884897006
cpg_brand,TreeMMM,tv_grps,0.990799196960484,0.17424543907186885,7.3599131178003086e-06,7.507651847571206e-06
cpg_brand,TreeMMM,digital_spend,0.9903846824785637,0.3027349710860318,1.3469873250220769e-05,1.3232972555800811e-05
cpg_brand,TreeMMM,trade_promo,0.9801067288168733,0.7182947725359463,2.8420408999825468e-05,2.729112643637921e-05
cpg_brand,TreeMMM,instore_display,0.8077105655973293,0.36348375735792304,8.27940162325119e-06,7.884813955509216e-06
cpg_brand,TreeMMM,social_media,0.9605128379941664,0.06662370905395129,2.0452279249870848e-06,2.2172214092797235e-06
cpg_brand,GLMM-Naive,tv_grps,0.9809030593732132,5.127488828419178,1.97889786328143e-06,7.507651847571206e-06
cpg_brand,GLMM-Naive,digital_spend,0.9999439381698958,4.949552158766268,3.3724858662667456e-06,1.3232972555800811e-05
cpg_brand,GLMM-Naive,trade_promo,0.998504803060126,4.831957180198715,8.709844030615553e-06,2.729112643637921e-05
cpg_brand,GLMM-Naive,instore_display,0.9853499996534069,5.40540330129516,1.9169522602862366e-06,7.884813955509216e-06
cpg_brand,GLMM-Naive,social_media,0.9869236811093941,5.3896683060296855,5.502455118960675e-07,2.2172214092797235e-06
saas_brand,TreeMMM,sdr_outreach,0.9856036706650114,0.15251464648790802,6.2142407972568e-06,6.499126111860091e-06
saas_brand,TreeMMM,content_downloads,0.9922933857410506,0.18888800986046486,8.403491251497965e-06,8.401351053511482e-06
saas_brand,TreeMMM,paid_search,0.9589378319502094,0.13668447481158844,3.788940326866795e-06,3.856129208539366e-06
saas_brand,TreeMMM,event_attendance,0.8767944311416822,1.2278360280040108,3.6332954315137605e-05,2.657934236526951e-05
saas_brand,TreeMMM,csm_meetings,0.8879587408912972,0.7257641579215662,2.039300516078228e-05,1.5716249797962253e-05
saas_brand,GLMM-Naive,sdr_outreach,0.9979877402643251,3.48126509737019,1.969998953874218e-06,6.499126111860091e-06
saas_brand,GLMM-Naive,content_downloads,0.9998806801185154,3.3223400242176466,2.5435661161337486e-06,8.401351053511482e-06
saas_brand,GLMM-Naive,paid_search,0.9883898609192883,3.5375854090097074,1.1818696656914368e-06,3.856129208539366e-06
saas_brand,GLMM-Naive,event_attendance,0.9997235656569612,3.4046108370751016,8.859502907728974e-06,2.657934236526951e-05
saas_brand,GLMM-Naive,csm_meetings,0.9996176030237134,3.435459043212983,5.652327803322558e-06,1.5716249797962253e-05
linear_baseline,TreeMMM,channel_a,0.9991599013982625,0.16332178454041926,1.3796690592038827e-05,1.3888888888888888e-05
linear_baseline,TreeMMM,channel_b,0.9987175482062357,0.10396783643404173,9.232954485835014e-06,9.259259259259252e-06
linear_baseline,TreeMMM,channel_c,0.9955836274463795,0.07627904818284616,4.689654474378222e-06,4.6296296296296296e-06
linear_baseline,GLMM-Naive,channel_a,1.0,0.00019130932882204272,1.3889625199887785e-05,1.3888888888888888e-05
linear_baseline,GLMM-Naive,channel_b,1.0,0.0008076739815974052,9.262868424203307e-06,9.259259259259252e-06
linear_baseline,GLMM-Naive,channel_c,0.9999999999999999,0.0011835893276790296,4.636595363065943e-06,4.6296296296296296e-06
