n_customers,n_periods,seed,noise_std,model,mape_promo,rank_promo,r2,wmape,share_rep_visits,share_dtc_advertising,share_samples,share_peer_programs,share_digital_impressions,share_conference,true_share_rep_visits,true_share_dtc_advertising,true_share_samples,true_share_peer_programs,true_share_digital_impressions,true_share_conference
500,18,42,0.02,GLMM-Naive,21.0568412904395,1.0,0.34529516205577093,0.7372719948532861,0.3859324289917951,0.21218638752037253,0.3034666623043745,0.07832689119556349,0.017330148632235653,0.002757481355658702,0.38111134883741116,0.199312963992678,0.31756700218798434,0.05744199447169645,0.040080781419720636,0.004485909090509401
500,18,42,0.02,GLMM-Oracle,20.831133249903022,1.0,0.1968815144101016,0.8294225773768666,0.4170740791079815,0.1869796201714549,0.32288875712403164,0.06254431915442187,0.008828553556336017,0.0016846708857741117,0.38111134883741116,0.199312963992678,0.31756700218798434,0.05744199447169645,0.040080781419720636,0.004485909090509401
500,18,42,0.02,BR-Naive,26.768427897111412,1.0,-31335.222923592155,5.419695215711111,0.3535424763724083,0.21745463465157527,0.29331961244892,0.0974344586218349,0.02394886069282281,0.014299957212438699,0.38111134883741116,0.199312963992678,0.31756700218798434,0.05744199447169645,0.040080781419720636,0.004485909090509401
500,18,42,0.02,BR-Oracle,26.446614037002227,0.942857142857143,-7420.683592398138,3.7714389915641364,0.40582922040322505,0.19418292934717926,0.3006946296831391,0.08088717275444761,0.009200516464332979,0.00920553134767601,0.38111134883741116,0.199312963992678,0.31756700218798434,0.05744199447169645,0.040080781419720636,0.004485909090509401
500,18,42,0.05,GLMM-Naive,31.244820551698876,0.942857142857143,0.4102669191032309,0.6652634281469337,0.39396413220087634,0.20489914061431236,0.30538848643678346,0.0854146724184774,0.0004602875316276889,0.009873280797922782,0.3812697096638311,0.19959010659321147,0.31656405984480845,0.057772827937205694,0.04032645379248834,0.004476842168454925
500,18,42,0.05,GLMM-Oracle,28.13032466517937,0.942857142857143,0.22681567630816812,0.8409749586833879,0.41591872790474194,0.17435054129627775,0.3194599625744923,0.0755516141250978,0.005149800265364164,0.00956935383402617,0.3812697096638311,0.19959010659321147,0.31656405984480845,0.057772827937205694,0.04032645379248834,0.004476842168454925
500,18,42,0.05,BR-Naive,25.180600638592026,1.0,-2506.6879110680106,3.6223307137029797,0.3608859672930136,0.21698841441034217,0.30772577649350086,0.09165935829689997,0.020004754216595148,0.0027357292896482916,0.3812697096638311,0.19959010659321147,0.31656405984480845,0.057772827937205694,0.04032645379248834,0.004476842168454925
500,18,42,0.05,BR-Oracle,27.655396317712597,1.0,-691.4265658176743,2.1294823655058748,0.40851461302509,0.19017266177730707,0.3127410679156552,0.081524269971211,0.006414601888255369,0.0006327854224813594,0.3812697096638311,0.19959010659321147,0.31656405984480845,0.057772827937205694,0.04032645379248834,0.004476842168454925
500,18,42,0.08,GLMM-Naive,25.402621563189104,0.942857142857143,0.36915699521913814,0.7151380389357636,0.3897549560022735,0.21384985756522465,0.30855965348664033,0.07077668071891928,0.002669075287544259,0.014389776939398035,0.380086424688483,0.20192054143832677,0.3154573208124006,0.057553743286060687,0.04043998204012131,0.004541987734607592
500,18,42,0.08,GLMM-Oracle,28.940888022641293,0.942857142857143,0.29253356420500154,0.774997173658919,0.4127559391804859,0.1783171038402812,0.325455055395832,0.07126998559954668,0.0010440212969843067,0.01115789468686988,0.380086424688483,0.20192054143832677,0.3154573208124006,0.057553743286060687,0.04043998204012131,0.004541987734607592
