dataset,prior_scale,variable,share_mean,share_sd,share_ci5,share_ci95,coef_mean_z,coef_sd_z,coef_ci5_z,coef_ci95_z,n_divergences,min_ess_bulk,max_rhat,holdout_r2,holdout_wmape
pharma,0.5,rep_visits,0.361989713423444,0.0018929266075551174,0.3585453892198333,0.36464225873164957,0.430143584621209,0.002091685683853863,0.42668927697326126,0.4335462193556274,0,627.0,1.0,-224.70081203754063,2.032200490844389
pharma,0.5,dtc_advertising,0.22224227022269297,0.0016187143707963503,0.21981785015197808,0.22488557020651706,0.2516817855670654,0.0019637908030156505,0.24846932353721932,0.25494842146205454,0,627.0,1.0,-224.70081203754063,2.032200490844389
pharma,0.5,samples,0.2829166605980626,0.0016044306119780748,0.28032788368593764,0.2855658901159741,0.3320213394534837,0.0019620718062913173,0.3287088981677537,0.3351648905236178,0,627.0,1.0,-224.70081203754063,2.032200490844389
pharma,0.5,peer_programs,0.09557341162230966,0.0015681069588009203,0.0930652202711064,0.09816608405842564,0.10822132070171454,0.0018570507502428681,0.10513049407401291,0.1113011494148131,0,627.0,1.0,-224.70081203754063,2.032200490844389
pharma,0.5,digital_impressions,0.03490125695906987,0.0016191597541118635,0.032164199578935335,0.037768739643595235,0.03940883201239213,0.001968439784701817,0.0361500826290105,0.04263664474141808,0,627.0,1.0,-224.70081203754063,2.032200490844389
pharma,0.5,conference,0.0023766871744209297,0.00138137818950989,0.00037479722947028886,0.004810742041605712,-0.003016876971184741,0.0018289041265456035,-0.006016213982464106,-2.9071546649722064e-05,0,627.0,1.0,-224.70081203754063,2.032200490844389
pharma,1.0,rep_visits,0.36209600194717495,0.0017038254463299905,0.35952538636427317,0.3650300290309407,0.4301668508339427,0.0020830491857882173,0.4267935290340985,0.43349182355238675,0,603.0,1.01,-223.99947363855114,2.0312936556295305
pharma,1.0,dtc_advertising,0.22202854380802697,0.0014801943703701187,0.2193342221792915,0.2242787044841833,0.2516755949973461,0.001975680738128461,0.24844506703715233,0.25498736562426233,0,603.0,1.01,-223.99947363855114,2.0312936556295305
pharma,1.0,samples,0.28329291129455464,0.0016687774262612953,0.28064364860932156,0.2860465291466334,0.3319736718393022,0.0020353742553467116,0.32863454591111,0.3353537845562293,0,603.0,1.01,-223.99947363855114,2.0312936556295305
pharma,1.0,peer_programs,0.09532606243688438,0.0013937730460738015,0.09302212609172754,0.09740613658566477,0.10820910965255218,0.0018004331503608925,0.10528592450012512,0.11111112857427995,0,603.0,1.01,-223.99947363855114,2.0312936556295305
pharma,1.0,digital_impressions,0.03492381133168156,0.001742247499437656,0.03204378095777656,0.037629558539031466,0.039428806412836075,0.0019280065851231727,0.036273588869574026,0.04250747693724595,0,603.0,1.01,-223.99947363855114,2.0312936556295305
pharma,1.0,conference,0.0023326691816775613,0.0013375349984394687,0.0004532143741449937,0.004853694779115172,-0.003011347506172844,0.0018006913209944648,-0.005938135254356903,-6.823744478922336e-05,0,603.0,1.01,-223.99947363855114,2.0312936556295305
pharma,2.0,rep_visits,0.3618862943861342,0.001804230325804382,0.35910153615869767,0.3649338672118345,0.43013458940804505,0.002114145022455903,0.42668007505253025,0.43368730139666684,0,615.0,1.0,-223.1729643952501,2.030521839182212
pharma,2.0,dtc_advertising,0.2222830895329609,0.0014796917745387638,0.21996717709691213,0.22467986161414596,0.2516866300262004,0.0019152255530808723,0.24841853608037978,0.2548322105724899,0,615.0,1.0,-223.1729643952501,2.030521839182212
pharma,2.0,samples,0.28317271797509824,0.0017051904500017235,0.28027390686884457,0.2859040106645231,0.3319735565591934,0.002046049606941661,0.3286813720390893,0.33541838799635704,0,615.0,1.0,-223.1729643952501,2.030521839182212
pharma,2.0,peer_programs,0.09541334549718737,0.0015028503379696794,0.09270130765899502,0.09751964514735015,0.10822755082977074,0.0017963205584232789,0.10529426250288769,0.1111868262768758,0,615.0,1.0,-223.1729643952501,2.030521839182212
pharma,2.0,digital_impressions,0.034809450258129995,0.0016838918516281004,0.03188091796079111,0.037444039490803584,0.0394685860925072,0.0019576395428472864,0.036269107432775796,0.04269641853792571,0,615.0,1.0,-223.1729643952501,2.030521839182212
pharma,2.0,conference,0.002435102350489317,0.0013919352024630819,0.000313753938692409,0.004863791489487306,-0.0030005483674511915,0.0018854995040764769,-0.0061328992949471394,5.630747266023223e-05,0,615.0,1.0,-223.1729643952501,2.030521839182212
cpg,0.5,tv_grps,0.14972706924712362,0.0022289212240584394,0.14628678139206425,0.15341865608489616,0.14702268483631648,0.0025585244480285725,0.1427742483811474,0.15110013141085665,0,2367.0,1.0,0.3659729804967702,0.45101141787632065
