dataset,model,variable,frac_negative,frac_positive,mean_signed,mean_unsigned,sign_consistency,dominant_sign
pharma,TreeMMM (LightGBM),rep_visits,0.5112592592592593,0.48874074074074075,0.0062862938449052995,0.8407853869275224,0.007476692557511341,mixed
pharma,TreeMMM (LightGBM),dtc_advertising,0.46196296296296296,0.5380370370370371,0.005889018087510092,0.33525729724182274,0.017565667133748665,mixed
pharma,TreeMMM (LightGBM),samples,0.5031481481481481,0.4968518518518519,0.0038337051297259533,0.5732978005434428,0.006687109432640229,mixed
pharma,TreeMMM (LightGBM),peer_programs,0.46425925925925926,0.5357407407407407,-0.0016352649315902964,0.12772377461938475,0.01280313658489475,mixed
pharma,TreeMMM (LightGBM),digital_impressions,0.4596296296296296,0.5403703703703704,-0.002029045610669664,0.053771925684620026,0.03773429321780857,mixed
pharma,TreeMMM (LightGBM),conference,0.09533333333333334,0.01577777777777778,6.094188264250235e-07,8.72235324115143e-06,0.0698686248511273,mixed
pharma,TreeMMM (LightGBM),market_index,0.3342962962962963,0.6657037037037037,-1.9231674915878006e-05,0.01197370679393121,0.0016061588317517052,mixed
pharma,TreeMMM (LightGBM),seasonality,0.7437037037037038,0.2562962962962963,-0.0023852966086911178,0.008439444527989464,0.28263668311110623,negative
pharma,TreeMMM (LightGBM),specialty,0.5002962962962964,0.4997037037037037,0.00033297543781720404,0.11901285866644672,0.002797810602553653,mixed
cpg,TreeMMM (LightGBM),tv_grps,0.42188888888888887,0.5781111111111111,0.0011405562982680863,0.12779988263944578,0.008924548870564068,mixed
cpg,TreeMMM (LightGBM),digital_spend,0.5434444444444444,0.45655555555555555,-0.0005864273937176708,0.1953472044804373,0.003001974844110951,mixed
cpg,TreeMMM (LightGBM),trade_promo,0.5568148148148148,0.4431851851851852,-0.0002609150725404631,0.38821211539208794,0.000672094100610289,mixed
cpg,TreeMMM (LightGBM),instore_display,0.3668888888888889,0.6331111111111111,0.00021421383980802956,0.07764890149249232,0.0027587491347671076,mixed
cpg,TreeMMM (LightGBM),social_media,0.42033333333333334,0.5796666666666667,0.00027836609371115797,0.02867436530059257,0.009707838021628518,mixed
cpg,TreeMMM (LightGBM),competitor_price_idx,0.5378888888888889,0.4621111111111111,-2.6560833057691287e-05,0.008868394877018855,0.0029949989176192176,mixed
cpg,TreeMMM (LightGBM),seasonality,0.6091851851851852,0.39081481481481484,-0.009774832418297685,0.031700111794156244,0.30835324751440235,mixed
cpg,TreeMMM (LightGBM),store_size,0.47933333333333333,0.5206666666666667,9.347718918214029e-05,0.03341238473490679,0.002797680857675574,mixed
saas,TreeMMM (LightGBM),sdr_outreach,0.4856666666666667,0.5143333333333333,-0.0008976998247898307,0.11273417830552322,0.007962978382269802,mixed
saas,TreeMMM (LightGBM),content_downloads,0.43314814814814817,0.5668518518518518,-0.0005449153894472904,0.19101742220155526,0.0028526999431094493,mixed
saas,TreeMMM (LightGBM),paid_search,0.4026666666666667,0.5973333333333334,0.0009303571690392088,0.07830341639825705,0.011881437769041166,mixed
saas,TreeMMM (LightGBM),event_attendance,0.44966666666666666,0.5503333333333333,-0.0004671262734459187,0.31863502287094064,0.0014660230041162884,mixed
saas,TreeMMM (LightGBM),csm_meetings,0.36777777777777776,0.6322222222222222,0.0025366305824461375,0.24243422494799072,0.010463170301100513,mixed
saas,TreeMMM (LightGBM),product_releases,0.6975555555555556,0.30244444444444446,9.875775696804207e-05,0.022924056940199417,0.004308040118102366,mixed
saas,TreeMMM (LightGBM),seasonality,0.5664444444444444,0.4335555555555556,-0.0029029595606942737,0.013320898354794494,0.21792520919953065,mixed
saas,TreeMMM (LightGBM),account_tier,0.4988518518518518,0.5011481481481481,0.0005667194864526247,0.054462728173601205,0.010405638965536087,mixed
linear,TreeMMM (LightGBM),channel_a,0.4587777777777778,0.5412222222222223,-0.0026166286568103107,4.090898449131022,0.0006396220021951726,mixed
linear,TreeMMM (LightGBM),channel_b,0.5028518518518519,0.4971481481481482,0.013376106371458623,2.205000617026246,0.0060662596954272905,mixed
linear,TreeMMM (LightGBM),channel_c,0.5177777777777778,0.4822222222222222,-0.006813560839864378,0.8571655343396393,0.007948944010112993,mixed
linear,TreeMMM (LightGBM),macro_index,0.5077407407407407,0.4922592592592593,-0.002208792153672164,0.24092602083272738,0.009167926926438998,mixed
linear,TreeMMM (LightGBM),seasonality,0.6642592592592592,0.33574074074074073,-0.0342569569950692,0.08524409756446912,0.40186896188514476,mixed
